Status,Cloacimonadaceae_W5___Paenibacillaceae_Paenibacillus,Halomonadaceae_g.___Paenibacillaceae_Paenibacillus,Paenibacillaceae_Paenibacillus___Yersiniaceae_g.,Comamonadaceae_Diaphorobacter___Paenibacillaceae_Paenibacillus,Comamonadaceae_g.___Paenibacillaceae_Paenibacillus,Actinomycetaceae_Actinomyces___Paenibacillaceae_Paenibacillus,Erwiniaceae_Pantoea___Paenibacillaceae_Paenibacillus,Paenibacillaceae_Paenibacillus___Pseudomonadaceae_Pseudomonas,Lactobacillaceae_Lactobacillus___Paenibacillaceae_Paenibacillus,Chroococcidiopsaceae_Chroococcidiopsis___Paenibacillaceae_Paenibacillus,Micrococcaceae_Rothia___Paenibacillaceae_Paenibacillus,Beijerinckiaceae_Psychroglaciecola___Paenibacillaceae_Paenibacillus
pos,-6.148817694578854,-6.148817694578854,6.148817694578854,0.010256500167189061,0.7236063880446542,-0.07490130817311771,-6.148817694578854,-1.2091142038263547,-3.8815637979434374,1.9532469391191678,-6.148817694578854,-0.8611389117990752
neg,0,0,-6.431142280747827,0,0,0,0,-7.411971533759554,6.025677172639663,0,0,0
pos,-6.630375788189487,-0.03509131981127052,6.630375788189487,-6.630375788189487,-6.630375788189487,-6.630375788189487,-6.630375788189487,3.2495127943300908,-6.630375788189487,-6.630375788189487,-6.630375788189487,-0.4700036292457359
neg,0,0,0,0,0,0,0,-8.767912851292394,0,0,0,0
neg,0,0,0,0,0,0,0,-8.722252310242602,0,0,0,0
pos,0,0,0,0,0,0,0,-6.813113010847221,0,0,0,4.328206361059221
pos,-9.802836649940678,-9.802836649940678,4.990432586778737,-4.872649551122353,-9.802836649940678,-9.802836649940678,-9.802836649940678,3.668676746796417,-9.802836649940678,-9.802836649940678,-9.802836649940678,-9.802836649940678
pos,0,0,0,0,0,0,0,-7.547760383630713,5.624073371360111,0,0,0
neg,0,7.116743532599429,0,0,0,0,0,-8.826103470060417,0,0,0,0
neg,0,8.962813081408791,-4.358097544212347,0,0,0,0,0,5.1790780962821765,0,0,0
neg,-4.370316070476961,-4.370316070476961,4.370316070476961,2.0476928433652555,-4.370316070476961,-4.370316070476961,-4.370316070476961,-4.31637638468362,0.9162907318741549,-4.370316070476961,-4.370316070476961,3.0405462893437836
pos,-10.788826669594648,-10.788826669594648,10.788826669594648,-10.788826669594648,-10.788826669594648,-10.788826669594648,-4.642351663555623,3.6139436335607615,-10.788826669594648,-5.269901561629754,-10.788826669594648,-4.74959719390922
neg,0,0,0,0,0,0,0,-8.648206929388913,0,0,0,0
pos,-9.517529169024417,-9.517529169024417,9.517529169024417,-9.517529169024417,-9.517529169024417,-3.5155176386914535,-9.517529169024417,9.517529169024417,-9.517529169024417,-9.517529169024417,-9.517529169024417,-9.517529169024417
pos,-9.949792521011576,-9.949792521011576,4.078666749502871,-9.949792521011576,-9.949792521011576,-9.949792521011576,-9.949792521011576,9.949792521011576,-9.949792521011576,-9.949792521011576,-9.949792521011576,-9.949792521011576
pos,-10.18519957639105,-10.18519957639105,10.18519957639105,-10.18519957639105,-10.18519957639105,-10.18519957639105,-10.18519957639105,5.577030769017058,-10.18519957639105,-4.121743536410215,-10.18519957639105,-10.18519957639105
neg,0,0,0,0,0,0,0,-9.083218956267935,0,0,0,0
pos,-10.552492675835841,-10.552492675835841,10.552492675835841,-10.552492675835841,-10.552492675835841,-10.552492675835841,-10.552492675835841,5.704258551789687,-10.552492675835841,-10.552492675835841,-10.552492675835841,-10.552492675835841
